Filename,Category,Summary
resume_1.txt,Objective,অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে ডায়নামিক টিমে কাজ করতে ইচ্ছুক। জাভা ও স্প্রিং দক্ষতা ব্যবহার করে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে চান।
resume_1.txt,Experience,"সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে তিনি টেকনোলজি সলিউশনস লিমিটেডে জুলাই ২০২০ থেকে মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও উন্নয়ন করছেন। এছাড়া, এই কাজের মাধ্যমে শিক্ষাগত উন্নতি ও সংস্থার কার্যকারিতা বৃদ্ধি করতে চান।"
resume_1.txt,Education,বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট) থেকে ২০১৪ থেকে ২০১৮ পর্যন্ত কম্পিউটার সায়েন্স ও
resume_1.txt,Skill,"প্রার্থী জাভা, পাইথন ও সি++ সহ বিভিন্ন প্রোগ্রামিং ভাষায় দক্ষ এবং স্প্রিং বুট, হাইবারনেট ও ডজ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ডেটা বিশ্লেষণে অভিজ্ঞতা রাখেন। তিনি Apache Spark, Git, Docker, Jenkins ও Maven-এ টুলস পরিচালনা করতে পারদর্শী।"
resume_10.txt,Objective,দক্ষ ও স্কেলেবল সফটওয়্যার সমাধান তৈরি করে প্রতিষ্ঠানের প্রযুক্তিগত চ্যালেঞ্জ মোকাবেলা করতে ইচ্ছুক। ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চান।
resume_10.txt,Experience,"জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার হিসেবে তিনি টেক গার্ডেন থেকে বর্তমান পর্যন্ত পাইথন ও জ্যাঙ্গো ব্যবহার করে ব্যাকএন্ড ফিচার তৈরি করছেন, পাশাপাশি প্রযুক্তিগত দক্ষতা অর্জন করেছেন। এছাড়া, এই দক্ষতার মাধ্যমে তিনি অ্যাপ্লিকেশন ডেভেলপ ও সংস্থার সাফল্যে অবদান রাখছেন।"
resume_10.txt,Education,"ইডেন মহিলা কলেজ (জাতীয় বিশ্ববিদ্যালয়) থেকে ২০১৫ থেকে ২০১৯ পর্যন্ত কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৩.৫০/৪.০০, যা সর্বোচ্চ ৪.০০ স্কেলে অর্জিত।"
resume_10.txt,Skill,"ব্যাকএন্ড ডেভেলপমেন্টে পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যবহার করে দক্ষতা রয়েছে, পাশাপাশি ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএসের মাধ্যমে ইন্টারেক্টিভ ইউজার ইন্টারফেস তৈরি করতে পারদর্শী। পোস্টগ্রেসকিউএল ও মাইএসকিউএল ডেটাবেজ, রেস্টফুল এপিআই ডিজাইনে অভিজ্ঞতা রাখেন।"
resume_100.txt,Objective,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশন ব্যবহার করে ডিপ্লয়মেন্টের প্রক্রিয়া সহজ ও দ্রুততর করতে ইচ্ছুক। এই লক্ষ্য অর্জনের মাধ্যমে সিস্টেমের কার্যকারিতা উন্নত করতে চান।
resume_100.txt,Experience,"জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউডটেক লিমিটেডে ডকার ও জেনকিন্স ব্যবহার করে অ্যাপ্লিকেশন কন্টেইনারাইজেশন, সিআই/সিডি পাইপলাইন সেটআপ ও মেইন্টেনেন্সের দায়িত্ব পালন করছেন। পূর্বে তিনি জানুয়ারি ২০২৪ থেকে বর্তমান পর্যন্ত ক্লাউডের প্রযুক্তিগত উন্নয়নে দক্ষতা অর্জন করেছেন।"
resume_100.txt,Education,বিএসসি ইন কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং সম্পন্ন করেছেন আমেরিকান ইন্টারন্যাশনাল ইউনিভার্সিটি‐বাংলাদেশ (AIUB) থেকে। সিজিপিএ ৪.০০ স্কেলে ৩.৩৮ অর্জন করেছেন।
resume_100.txt,Skill,"প্রার্থী লিনাক্স, ডকার এবং জেনকিন্স ব্যবহার করে ব্যাকএন্ড ডেভেলপমেন্টে দক্ষ। তিনি AWS (EC2, S3) সহ জাতীয় ডাটাবেস পরিচালনা করতে পারদর্শী। এছাড়া AWS থেকে সিস্টেম ডিপ্লয়মেন্টে অভিজ্ঞতা রয়েছে।"
