filename,category,bt5_abs_rouge1,bt5_abs_rouge2,bt5_abs_rougeL,bt5_abs_semantic_sim,mt5_abs_rouge1,mt5_abs_rouge2,mt5_abs_rougeL,mt5_abs_semantic_sim,bt5_ext_rouge1,bt5_ext_rouge2,bt5_ext_rougeL,bt5_ext_semantic_sim,mt5_ext_rouge1,mt5_ext_rouge2,mt5_ext_rougeL,mt5_ext_semantic_sim,bt5_summary,mt5_summary,abstractive_reference,extractive_reference
resume_1.txt,Objective,0.5,0.3043,0.4583,0.8421,0.6222,0.3721,0.6222,0.8022,0.625,0.4348,0.5417,0.7065,0.6222,0.3721,0.6222,0.4838,ডাটাবেস ইঞ্জিনিয়ার হিসেবে ডায়নামিক টিমে অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে কাজ করে জাভা ও স্প্রিং ফ্রেমওয়ার্কের দক্ষতা ব্যবহার করে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে চাই।,অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে ডায়নামিক টিমে কাজ করতে ইচ্ছুক। জাভা ও স্প্রিং দক্ষতা ব্যবহার করে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে চান।,একজন অভিজ্ঞ সফ্টওয়্যার ইঞ্জিনিয়ার ডায়নামিক টিমে যোগ দিতে ইচ্ছুক। তিনি জাভা ও স্প্রিং ফ্রেমওয়ার্কে পারদর্শী এবং এই দক্ষতা দিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে চান।,অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে একটি ডায়নামিক টিমে যোগদান করা যেখানে আমার জাভা এবং স্প্রিং ফ্রেমওয়ার্কের দক্ষতা কাজে লাগিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে পারি
resume_1.txt,Experience,0.5075,0.3385,0.4179,0.4315,0.5432,0.4051,0.5185,0.3347,0.45,0.4211,0.45,0.7315,0.4074,0.3462,0.4074,0.5161,ডাটা সলিউশনস লিমিটেডে সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও ডেভেলপমেন্টে অভিজ্ঞতা অর্জন করেছেন।,"সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে তিনি টেকনোলজি সলিউশনস লিমিটেডে জুলাই ২০২০ থেকে মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও উন্নয়ন করছেন। এছাড়া, এই কাজের মাধ্যমে শিক্ষাগত উন্নতি ও সংস্থার কার্যকারিতা বৃদ্ধি করতে চান।","সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে টেকনোলজি সলিউশনস লিমিটেডে জুলাই ২০২০ থেকে মাইক্রোসার্ভিস আর্কিটেকচার, জাভা ও স্প্রিং বুট ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও ডাটাবেস (MySQL, MongoDB) পরিচালনা করছেন। পূর্বে ডাটা সফ্ট লিমিটেডে জুন ২০১৮ থেকে জুন ২০২০ পর্যন্ত ওয়েব অ্যাপ্লিকেশনের ব্যাকএন্ড ডেভেলপমেন্ট, RESTful API নির্মাণ এবং ডকুমেন্টেশন কাজের দায়িত্ব পালন করেছেন।",মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও উন্নয়ন | জাভা ও স্প্রিং বুট ব্যবহার করে ব্যবসায়িক লজিক ইমপ্লিমেন্ট করা
resume_1.txt,Education,0.8814,0.7018,0.7458,0.9597,0.6364,0.619,0.6364,0.8726,0.3243,0.2857,0.3243,0.6807,0.6364,0.6,0.6364,0.8827,প্রার্থী ২০১৪ থেকে ২০১৮ পর্যন্ত বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি থেকে কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৭৫ অর্জন করেছেন।,বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট) থেকে ২০১৪ থেকে ২০১৮ পর্যন্ত কম্পিউটার সায়েন্স ও,বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট) থেকে ২০১৪ থেকে ২০১৮ পর্যন্ত কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ স্কেলে ৩.৭৫ অর্জন করেছেন।,বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট)
resume_1.txt,Skill,0.6377,0.3881,0.5507,0.9376,0.7385,0.6032,0.6462,0.8435,0.3913,0.1364,0.3478,0.5638,0.4286,0.15,0.3333,0.5763,"প্রার্থী জাভা, পাইথন ও সি++ প্রোগ্রামিং ভাষায় পারদর্শী এবং স্প্রিং বুট, হাইবারনেট ও ডজঙ্গো ফ্রেমওয়ার্কে দক্ষ। তিনি MySQL, PostgreSকিউL এবং MongoDB ব্যবহার করে ডাটাবেজ তৈরি করতে পারদর্শী। এছাড়া Git, Docker, Jenkins, Maven ইত্যাদি টুলস ব্যবহার করে ডেটাবেস পরিচালনা করতে সক্ষম।","প্রার্থী জাভা, পাইথন ও সি++ সহ বিভিন্ন প্রোগ্রামিং ভাষায় দক্ষ এবং স্প্রিং বুট, হাইবারনেট ও ডজ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ডেটা বিশ্লেষণে অভিজ্ঞতা রাখেন। তিনি Apache Spark, Git, Docker, Jenkins ও Maven-এ টুলস পরিচালনা করতে পারদর্শী।","প্রার্থী জাভা, পাইথন ও সি++ সহ বিভিন্ন প্রোগ্রামিং ভাষায় দক্ষ এবং স্প্রিং বুট, হাইবারনেট ও ডজ্যাঙ্গো ফ্রেমওয়ার্কে অভিজ্ঞ। তিনি MySQL, PostgreSQL ও MongoDB ডাটাবেস পরিচালনা করতে পারদর্শী, পাশাপাশি Git, Docker, Jenkins এবং Maven টুলস ব্যবহার করে ডেভেলপমেন্ট ও ডিপ্লয়মেন্ট কাজ সম্পন্ন করেন।","প্রোগ্রামিং ভাষা: জাভা, পাইথন, সি++, ফ্রেমওয়ার্ক: স্প্রিং বুট, হাইবারনেট, ডjango, ডাটাবেজ: MySQL, PostgreSQL, MongoDB, টুলস: Git, Docker, Jenkins, Maven"
resume_10.txt,Objective,0.9091,0.8571,0.9091,0.8451,0.8837,0.7805,0.8837,0.9804,0.5366,0.3077,0.5366,0.2809,0.6,0.4211,0.6,0.4042,প্রার্থী দক্ষ ও স্কেলযোগ্য সফটওয়্যার সমাধান তৈরি করে প্রতিষ্ঠানের প্রযুক্তিগত চ্যালেঞ্জ মোকাবেলা করতে ইচ্ছুক। ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চান।,দক্ষ ও স্কেলেবল সফটওয়্যার সমাধান তৈরি করে প্রতিষ্ঠানের প্রযুক্তিগত চ্যালেঞ্জ মোকাবেলা করতে ইচ্ছুক। ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চান।,দক্ষ ও স্কেলযোগ্য সফটওয়্যার সমাধান তৈরি করে প্রতিষ্ঠানের প্রযুক্তিগত চ্যালেঞ্জ মোকাবেলা করতে ইচ্ছুক। এভাবে ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চাই।,দক্ষ ও স্কেলেবল সফটওয়্যার সলিউশন ডেভেলপমেন্টের মাধ্যমে প্রতিষ্ঠানের টেকনোলজিক্যাল চ্যালেঞ্জ মোকাবেলা এবং ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী
resume_10.txt,Experience,0.3962,0.2308,0.3585,0.762,0.367,0.1869,0.2752,0.7129,0.1034,0.0357,0.1034,0.5769,0.0984,0.0339,0.0984,0.6086,ডেটা ইঞ্জিনিয়ার হিসেবে টেক গার্ডেন সফটওয়্যারে জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার হিসেবে পাইথন ও জ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ব্যাকএন্ড ফিচার ডেভেলপ করছেন। পূর্বে টেক গার্ডেন সফটএ জুনিয়র সফটওয়্যার ডেভেলপার হিসেবে অ্যাপ ডেভেলপমেন্টে অভিজ্ঞতা অর্জন করেছেন।,"জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার হিসেবে তিনি টেক গার্ডেন থেকে বর্তমান পর্যন্ত পাইথন ও জ্যাঙ্গো ব্যবহার করে ব্যাকএন্ড ফিচার তৈরি করছেন, পাশাপাশি প্রযুক্তিগত দক্ষতা অর্জন করেছেন। এছাড়া, এই দক্ষতার মাধ্যমে তিনি অ্যাপ্লিকেশন ডেভেলপ ও সংস্থার সাফল্যে অবদান রাখছেন।","টেক গার্ডেন সফটওয়্যারে জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার হিসেবে ২০২০ সালের নভেম্বর থেকে পাইথন ও জ্যাঙ্গো ব্যবহার করে ব্যাকএন্ড ফিচার, রেস্টফুল এপিআই এবং পোস্টগ্রেসকিউএল ডেটাবেজের কোয়েরি অপটিমাইজেশনসহ ডেটা মডেলিং কাজ পরিচালনা করছেন, গিটের মাধ্যমে ভার্সন কন্ট্রোল ও কোড রিভিউতে সক্রিয়ভাবে অংশগ্রহণ করছেন। পূর্বে ব্রেইন স্টেশন লিমিটেডে সফটওয়্যার ডেভেলপমেন্ট ইন্টার্ন হিসেবে ২০১৯ থেকে ২০২০ পর্যন্ত জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস ব্যবহার করে ফ্রন্টএন্ড কম্পোনেন্ট ডেভেলপ, বাগ ফিক্সিং, ফিচার আপডেট এবং টেস্টিং‑ডিবাগিং করে সফটওয়্যার কোয়ালিটি নিশ্চিত করেছেন।",গিট ব্যবহার করে ভার্সন কন্ট্রোল এবং টিমের সাথে কোড রিভিউ প্রক্রিয়ায় অংশগ্রহণ করছি | জাভাস্ক্রিপ্ট এবং রিঅ্যাক্ট জেএস ব্যবহার করে ফ্রন্টএন্ড কম্পোনেন্ট ডেভেলপ করতে সহায়তা করেছি
resume_10.txt,Education,0.7586,0.5714,0.5517,0.8481,0.8197,0.8136,0.8197,0.9185,0.1818,0.0645,0.1818,0.6319,0.1667,0.0588,0.1667,0.5414,প্রার্থী ২০১৫ থেকে ২০১৯ পর্যন্ত ইডেন মহিলা কলেজ থেকে কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ এর মধ্যে ৩.৫০ অর্জন করেছেন।,"ইডেন মহিলা কলেজ (জাতীয় বিশ্ববিদ্যালয়) থেকে ২০১৫ থেকে ২০১৯ পর্যন্ত কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৩.৫০/৪.০০, যা সর্বোচ্চ ৪.০০ স্কেলে অর্জিত।","ইডেন মহিলা কলেজ (জাতীয় বিশ্ববিদ্যালয়) থেকে ২০১৫ থেকে ২০১৯ পর্যন্ত কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৩.৫০/৪.০০, যা শৈল্পিক পারফরম্যান্সের উচ্চ মানকে নির্দেশ করে।",বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং
resume_10.txt,Skill,0.6,0.4103,0.475,0.6448,0.5823,0.4416,0.481,0.7233,0.4375,0.129,0.3125,0.5081,0.381,0.0984,0.3175,0.5311,"প্রার্থী পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যবহার করে ব্যাকএন্ড ডেভেলপমেন্টে পারদর্শী এবং ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস (বেসি) দিয়ে ফ্রন্টএন্ড তৈরি করতে পারদর্শী। পোস্টগ্রেসকিউএল ও মাইএসকিউএল ডেটাবেজ পরিচালনা করেন। রেস্টফুল এপিআই ডিজাইনে অভিজ্ঞতা রয়েছে।","ব্যাকএন্ড ডেভেলপমেন্টে পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যবহার করে দক্ষতা রয়েছে, পাশাপাশি ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএসের মাধ্যমে ইন্টারেক্টিভ ইউজার ইন্টারফেস তৈরি করতে পারদর্শী। পোস্টগ্রেসকিউএল ও মাইএসকিউএল ডেটাবেজ, রেস্টফুল এপিআই ডিজাইনে অভিজ্ঞতা রাখেন।","ব্যাকএন্ড ডেভেলপমেন্টে পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যবহার করে কাজ করতে পারদর্শী; ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস (বেসিক) দক্ষতা রয়েছে। পোস্টগ্রেসকিউএল ও মাইএসকিউএল ডেটাবেজে ডেটা ম্যানেজমেন্ট এবং রেস্টফুল এপিআই ডিজাইনে অভিজ্ঞ। গিট, গিটহাব, ডকার (বেসিক) এবং অ্যাজাইল স্ক্রাম পদ্ধতিতে ভার্সন কন্ট্রোল ও টিম সহযোগিতা দক্ষতা সম্পন্ন।","ব্যাকএন্ড ডেভেলপমেন্ট: পাইথন, জ্যাঙ্গো, জাভা (বেসিক), ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস (বেসিক), ডেটাবেজ: পোস্টগ্রেএসকিউএল, মাইএসকিউএল, এপিআই ডিজাইন: রেস্টফুল এপিআই, ভার্সন কন্ট্রোল: গিট, গিটহাব, টুলস ও টেকনোলজি: ডকার (বেসিক), অ্যাজাইল স্ক্রাম"
resume_100.txt,Objective,0.5581,0.3415,0.5116,0.7314,0.6667,0.3673,0.5882,0.9629,0.75,0.6667,0.75,0.6183,0.6,0.4737,0.55,0.4264,প্রার্থী ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশন ব্যবহার করে ডিপ্লয়মেন্ট প্রক্রিয়া সহজ ও দ্রুততর করতে চান।,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশন ব্যবহার করে ডিপ্লয়মেন্টের প্রক্রিয়া সহজ ও দ্রুততর করতে ইচ্ছুক। এই লক্ষ্য অর্জনের মাধ্যমে সিস্টেমের কার্যকারিতা উন্নত করতে চান।,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড প্রযুক্তি ও কন্টেইনারাইজেশন ব্যবহার করে সফটওয়্যার ডিপ্লয়মেন্টের প্রক্রিয়া সহজ এবং দ্রুততর করা লক্ষ্য। এই মাধ্যমে সিস্টেমের স্কেলেবিলিটি ও নির্ভরযোগ্যতা বৃদ্ধি করা ইচ্ছা।,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশনের মাধ্যমে ডিপ্লয়মেন্ট প্রক্রিয়া সহজ ও দ্রুততর করতে চাই
resume_100.txt,Experience,0.5231,0.3175,0.4615,0.8909,0.5195,0.2933,0.4675,0.9326,0.0,0.0,0.0,0.3994,0.1111,0.0,0.1111,0.4435,"প্রার্থী জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউডটেক লিমিটেডে ডকার ব্যবহার করে কন্টেইনারাইজেশন, জেনকিন্স ব্যবহার করে সিআই/সিডি পাইপলাইন স্থাপন এবং রক্ষণাবেক্ষণের দায়িত্ব পালন করছেন।","জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউডটেক লিমিটেডে ডকার ও জেনকিন্স ব্যবহার করে অ্যাপ্লিকেশন কন্টেইনারাইজেশন, সিআই/সিডি পাইপলাইন সেটআপ ও মেইন্টেনেন্সের দায়িত্ব পালন করছেন। পূর্বে তিনি জানুয়ারি ২০২৪ থেকে বর্তমান পর্যন্ত ক্লাউডের প্রযুক্তিগত উন্নয়নে দক্ষতা অর্জন করেছেন।","প্রার্থী বর্তমানে জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউডটেক লিমিটেডে ডকার, জেনকিন্স এবং AWS ব্যবহার করে কন্টেইনারাইজেশন, সিআই/সিডি পাইপলাইন ও লিনাক্স সার্ভার ব্যবস্থাপনা পরিচালনা করছেন। পূর্বে সফটওয়্যার জোনে ইন্টার্নশিপের সময় পিএইচপি ও লারাভেলে ব্যাকএন্ড ডেভেলপমেন্ট শিখে অ্যাপ্লিকেশন ডিপ্লয়মেন্ট প্রক্রিয়া পর্যবেক্ষণ ও ডকুমেন্টেশন সম্পন্ন করেছেন।",লিনাক্স সার্ভার ম্যানেজমেন্ট ও অ্যামাজন ওয়েব সার্ভিসেস (AWS) এর বেসিক সার্ভিস নিয়ে কাজ করা | অ্যাপ্লিকেশন ডিপ্লয়মেন্ট প্রক্রিয়া পর্যবেক্ষণ ও ডকুমেন্টেশন
