Filename,Category,Input_Text,Abstractive_Reference_Summary,Extractive_Reference_Summary
resume_1.txt,Objective,অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে একটি ডায়নামিক টিমে যোগদান করা যেখানে আমার জাভা এবং স্প্রিং ফ্রেমওয়ার্কের দক্ষতা কাজে লাগিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে পারি,একজন অভিজ্ঞ সফ্টওয়্যার ইঞ্জিনিয়ার ডায়নামিক টিমে যোগ দিতে ইচ্ছুক। তিনি জাভা ও স্প্রিং ফ্রেমওয়ার্কে পারদর্শী এবং এই দক্ষতা দিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে চান।,অভিজ্ঞতা সম্পন্ন সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে একটি ডায়নামিক টিমে যোগদান করা যেখানে আমার জাভা এবং স্প্রিং ফ্রেমওয়ার্কের দক্ষতা কাজে লাগিয়ে প্রতিষ্ঠানের সাফল্যে অবদান রাখতে পারি
resume_1.txt,Experience,সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার । টেকনোলজি সলিউশনস লিমিটেড । জুলাই ২০২০ - বর্তমান । মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও উন্নয়ন । জাভা ও স্প্রিং বুট ব্যবহার করে ব্যবসায়িক লজিক ইমপ্লিমেন্ট করা । ডাটাবেজ হিসেবে MySQL এবং MongoDB ব্যবহার করা । সফ্টওয়্যার ইঞ্জিনিয়ার । ডাটা সফ্ট লিমিটেড (জুন ২০১৮ - জুন ২০২০) । ওয়েব অ্যাপ্লিকেশনের ব্যাকএন্ড ডেভেলপমেন্ট । RESTful API তৈরি এবং ডকুমেন্টেশন করা,"সিনিয়র সফ্টওয়্যার ইঞ্জিনিয়ার হিসেবে টেকনোলজি সলিউশনস লিমিটেডে জুলাই ২০২০ থেকে মাইক্রোসার্ভিস আর্কিটেকচার, জাভা ও স্প্রিং বুট ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও ডাটাবেস (MySQL, MongoDB) পরিচালনা করছেন। পূর্বে ডাটা সফ্ট লিমিটেডে জুন ২০১৮ থেকে জুন ২০২০ পর্যন্ত ওয়েব অ্যাপ্লিকেশনের ব্যাকএন্ড ডেভেলপমেন্ট, RESTful API নির্মাণ এবং ডকুমেন্টেশন কাজের দায়িত্ব পালন করেছেন।",মাইক্রোসার্ভিস আর্কিটেকচার ব্যবহার করে স্কেলেবল ব্যাকএন্ড সিস্টেম ডিজাইন ও উন্নয়ন | জাভা ও স্প্রিং বুট ব্যবহার করে ব্যবসায়িক লজিক ইমপ্লিমেন্ট করা
resume_1.txt,Education,"বি.এসসি. ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং । বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট) । সিজিপিএ: ""৩.৭৫/৪.০০"" (২০১৪-২০১৮)",বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট) থেকে ২০১৪ থেকে ২০১৮ পর্যন্ত কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৪.০০ স্কেলে ৩.৭৫ অর্জন করেছেন।,বাংলাদেশ ইউনিভার্সিটি অফ ইঞ্জিনিয়ারিং অ্যান্ড টেকনোলজি (বুয়েট)
resume_1.txt,Skill,"প্রোগ্রামিং ভাষা: জাভা, পাইথন, সি++ । ফ্রেমওয়ার্ক: স্প্রিং বুট, হাইবারনেট, ডjango । ডাটাবেজ: MySQL, PostgreSQL, MongoDB । টুলস: Git, Docker, Jenkins, Maven","প্রার্থী জাভা, পাইথন ও সি++ সহ বিভিন্ন প্রোগ্রামিং ভাষায় দক্ষ এবং স্প্রিং বুট, হাইবারনেট ও ডজ্যাঙ্গো ফ্রেমওয়ার্কে অভিজ্ঞ। তিনি MySQL, PostgreSQL ও MongoDB ডাটাবেস পরিচালনা করতে পারদর্শী, পাশাপাশি Git, Docker, Jenkins এবং Maven টুলস ব্যবহার করে ডেভেলপমেন্ট ও ডিপ্লয়মেন্ট কাজ সম্পন্ন করেন।","প্রোগ্রামিং ভাষা: জাভা, পাইথন, সি++, ফ্রেমওয়ার্ক: স্প্রিং বুট, হাইবারনেট, ডjango, ডাটাবেজ: MySQL, PostgreSQL, MongoDB, টুলস: Git, Docker, Jenkins, Maven"
resume_10.txt,Objective,দক্ষ ও স্কেলেবল সফটওয়্যার সলিউশন ডেভেলপমেন্টের মাধ্যমে প্রতিষ্ঠানের টেকনোলজিক্যাল চ্যালেঞ্জ মোকাবেলা এবং ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী,দক্ষ ও স্কেলযোগ্য সফটওয়্যার সমাধান তৈরি করে প্রতিষ্ঠানের প্রযুক্তিগত চ্যালেঞ্জ মোকাবেলা করতে ইচ্ছুক। এভাবে ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা পালন করতে চাই।,দক্ষ ও স্কেলেবল সফটওয়্যার সলিউশন ডেভেলপমেন্টের মাধ্যমে প্রতিষ্ঠানের টেকনোলজিক্যাল চ্যালেঞ্জ মোকাবেলা এবং ব্যবসায়িক লক্ষ্য অর্জনে গুরুত্বপূর্ণ ভূমিকা রাখতে আগ্রহী
resume_10.txt,Experience,জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার | । টেক গার্ডেন সফটওয়্যার | । নভেম্বর ২০২০ - বর্তমান । পাইথন এবং জ্যাঙ্গো ফ্রেমওয়ার্ক ব্যবহার করে ব্যাকএন্ড ফিচার ডেভেলপ করছি । রেস্টফুল এপিআই ডিজাইন ও ইমপ্লিমেন্ট করছি । পোস্টগ্রেএসকিউএল ডেটাবেজে কোয়েরি অপটিমাইজেশন এবং ডেটা মডেলিং করছি । গিট ব্যবহার করে ভার্সন কন্ট্রোল এবং টিমের সাথে কোড রিভিউ প্রক্রিয়ায় অংশগ্রহণ করছি । সফটওয়্যার ডেভেলপমেন্ট ইন্টার্ন । | ব্রেইন স্টেশন লিমিটেড । | জানুয়ারি ২০১৯ - অক্টোবর ২০২০ । জাভাস্ক্রিপ্ট এবং রিঅ্যাক্ট জেএস ব্যবহার করে ফ্রন্টএন্ড কম্পোনেন্ট ডেভেলপ করতে সহায়তা করেছি । বাগ ফিক্সিং এবং বিদ্যমান ফিচার আপডেট করার কাজ করেছি । টেস্টিং ও ডিবাগিং-এর মাধ্যমে সফটওয়্যার কোয়ালিটি নিশ্চিত করেছি,"টেক গার্ডেন সফটওয়্যারে জুনিয়র সফটওয়্যার ইঞ্জিনিয়ার হিসেবে ২০২০ সালের নভেম্বর থেকে পাইথন ও জ্যাঙ্গো ব্যবহার করে ব্যাকএন্ড ফিচার, রেস্টফুল এপিআই এবং পোস্টগ্রেসকিউএল ডেটাবেজের কোয়েরি অপটিমাইজেশনসহ ডেটা মডেলিং কাজ পরিচালনা করছেন, গিটের মাধ্যমে ভার্সন কন্ট্রোল ও কোড রিভিউতে সক্রিয়ভাবে অংশগ্রহণ করছেন। পূর্বে ব্রেইন স্টেশন লিমিটেডে সফটওয়্যার ডেভেলপমেন্ট ইন্টার্ন হিসেবে ২০১৯ থেকে ২০২০ পর্যন্ত জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস ব্যবহার করে ফ্রন্টএন্ড কম্পোনেন্ট ডেভেলপ, বাগ ফিক্সিং, ফিচার আপডেট এবং টেস্টিং‑ডিবাগিং করে সফটওয়্যার কোয়ালিটি নিশ্চিত করেছেন।",গিট ব্যবহার করে ভার্সন কন্ট্রোল এবং টিমের সাথে কোড রিভিউ প্রক্রিয়ায় অংশগ্রহণ করছি | জাভাস্ক্রিপ্ট এবং রিঅ্যাক্ট জেএস ব্যবহার করে ফ্রন্টএন্ড কম্পোনেন্ট ডেভেলপ করতে সহায়তা করেছি
resume_10.txt,Education,বি.এসসি. ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং । ইডেন মহিলা কলেজ (জাতীয় বিশ্ববিদ্যালয়) । সিজিপিএ: ৩.৫০/৪.০০ (২০১৫-২০১৯),"ইডেন মহিলা কলেজ (জাতীয় বিশ্ববিদ্যালয়) থেকে ২০১৫ থেকে ২০১৯ পর্যন্ত কম্পিউটার সায়েন্স ও ইঞ্জিনিয়ারিং-এ বি.এসসি. সম্পন্ন করেছেন। সিজিপিএ ৩.৫০/৪.০০, যা শৈল্পিক পারফরম্যান্সের উচ্চ মানকে নির্দেশ করে।",বিএসসি ইন কম্পিউটার সায়েন্স অ্যান্ড ইঞ্জিনিয়ারিং
resume_10.txt,Skill,"ব্যাকএন্ড ডেভেলপমেন্ট: পাইথন, জ্যাঙ্গো, জাভা (বেসিক) । ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস (বেসিক) । ডেটাবেজ: পোস্টগ্রেএসকিউএল, মাইএসকিউএল । এপিআই ডিজাইন: রেস্টফুল এপিআই । ভার্সন কন্ট্রোল: গিট, গিটহাব । টুলস ও টেকনোলজি: ডকার (বেসিক), অ্যাজাইল স্ক্রাম","ব্যাকএন্ড ডেভেলপমেন্টে পাইথন, জ্যাঙ্গো এবং জাভা (বেসিক) ব্যবহার করে কাজ করতে পারদর্শী; ফ্রন্টএন্ডে জাভাস্ক্রিপ্ট ও রিঅ্যাক্ট জেএস (বেসিক) দক্ষতা রয়েছে। পোস্টগ্রেসকিউএল ও মাইএসকিউএল ডেটাবেজে ডেটা ম্যানেজমেন্ট এবং রেস্টফুল এপিআই ডিজাইনে অভিজ্ঞ। গিট, গিটহাব, ডকার (বেসিক) এবং অ্যাজাইল স্ক্রাম পদ্ধতিতে ভার্সন কন্ট্রোল ও টিম সহযোগিতা দক্ষতা সম্পন্ন।","ব্যাকএন্ড ডেভেলপমেন্ট: পাইথন, জ্যাঙ্গো, জাভা (বেসিক), ফ্রন্টএন্ড ডেভেলপমেন্ট: জাভাস্ক্রিপ্ট, রিঅ্যাক্ট জেএস (বেসিক), ডেটাবেজ: পোস্টগ্রেএসকিউএল, মাইএসকিউএল, এপিআই ডিজাইন: রেস্টফুল এপিআই, ভার্সন কন্ট্রোল: গিট, গিটহাব, টুলস ও টেকনোলজি: ডকার (বেসিক), অ্যাজাইল স্ক্রাম"
resume_100.txt,Objective,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশনের মাধ্যমে ডিপ্লয়মেন্ট প্রক্রিয়া সহজ ও দ্রুততর করতে চাই,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড প্রযুক্তি ও কন্টেইনারাইজেশন ব্যবহার করে সফটওয়্যার ডিপ্লয়মেন্টের প্রক্রিয়া সহজ এবং দ্রুততর করা লক্ষ্য। এই মাধ্যমে সিস্টেমের স্কেলেবিলিটি ও নির্ভরযোগ্যতা বৃদ্ধি করা ইচ্ছা।,ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউড টেকনোলজি ও কন্টেইনারাইজেশনের মাধ্যমে ডিপ্লয়মেন্ট প্রক্রিয়া সহজ ও দ্রুততর করতে চাই
resume_100.txt,Experience,জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার । ক্লাউডটেক লিমিটেড জানুয়ারি ২০২৪ - বর্তমান । ডকার ব্যবহার করে অ্যাপ্লিকেশন কন্টেইনারাইজেশন । জেনকিন্স ব্যবহার করে সিআই/সিডি পাইপলাইন সেটআপ ও মেইন্টেনেন্স । লিনাক্স সার্ভার ম্যানেজমেন্ট ও অ্যামাজন ওয়েব সার্ভিসেস (AWS) এর বেসিক সার্ভিস নিয়ে কাজ করা । সফটওয়্যার ইঞ্জিনিয়ার (ইন্টার্ন) । সফটওয়্যার জোন মার্চ ২০২৩ - ডিসেম্বর ২০২৩ । পিএইচপি ও লারাভেলে ব্যাকএন্ড ডেভেলপমেন্ট শেখা । অ্যাপ্লিকেশন ডিপ্লয়মেন্ট প্রক্রিয়া পর্যবেক্ষণ ও ডকুমেন্টেশন,"প্রার্থী বর্তমানে জুনিয়র ডেভঅপ্স ইঞ্জিনিয়ার হিসেবে ক্লাউডটেক লিমিটেডে ডকার, জেনকিন্স এবং AWS ব্যবহার করে কন্টেইনারাইজেশন, সিআই/সিডি পাইপলাইন ও লিনাক্স সার্ভার ব্যবস্থাপনা পরিচালনা করছেন। পূর্বে সফটওয়্যার জোনে ইন্টার্নশিপের সময় পিএইচপি ও লারাভেলে ব্যাকএন্ড ডেভেলপমেন্ট শিখে অ্যাপ্লিকেশন ডিপ্লয়মেন্ট প্রক্রিয়া পর্যবেক্ষণ ও ডকুমেন্টেশন সম্পন্ন করেছেন।",লিনাক্স সার্ভার ম্যানেজমেন্ট ও অ্যামাজন ওয়েব সার্ভিসেস (AWS) এর বেসিক সার্ভিস নিয়ে কাজ করা | অ্যাপ্লিকেশন ডিপ্লয়মেন্ট প্রক্রিয়া পর্যবেক্ষণ ও ডকুমেন্টেশন
